Fecha,Evento,Hora,Categoria,Precio,Direccion,Ubicacion,Ciudad
15jun,Journey & Def Leppard,VI - Hora de inicio: 7:00 pm , Conciertos                                                            ," Desde $94,00",Lafayette St At Mulberry St,Newark,NJ
15jun,New York Yankees vs. Tampa Bay Rays,VI - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $24,00",161st Street and River Avenue,Bronx,NY
15jun,Dead & Company,VI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $93,00",126th St. and Roosevelt Ave.,Queens,NY
16 jun,Mermaid Parade en Coney Island,SA,,,126th St. and Roosevelt Ave.,Queens,NY
16 jun,Vida nocturna,SA,,,126th St. and Roosevelt Ave.,Queens,NY
16jun,New York Yankees vs. Tampa Bay Rays,SA - Hora de inicio: 1:05 pm ," Béisbol, Deportes                                                            "," Desde $27,00",161st Street and River Avenue,Bronx,NY
16jun,"Logic, NF & Kyle",SA - Hora de inicio: 7:00 pm , Conciertos                                                            ," Desde $86,00",4 Pennsylvania Plaza,New York,NY
16jun,Hayley Kiyoko,SA - Hora de inicio: 7:00 pm , Conciertos                                                            ," Desde $144,00",17 Irving Place,New York,NY
16jun,Dead & Company,SA - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $95,00",126th St. and Roosevelt Ave.,Queens,NY
16jun,Anthony Santos,SA - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $103,00",1260 Avenue of the Americas,New York,NY
17 jun,Un domingo de góspel,DO,,,1260 Avenue of the Americas,New York,NY
17jun,New York Yankees vs. Tampa Bay Rays,DO - Hora de inicio: 2:05 pm ," Béisbol, Deportes                                                            "," Desde $35,00",161st Street and River Avenue,Bronx,NY
18 jun,Woodbury Common Premium Outlets Shopping Tour,LU,,,161st Street and River Avenue,Bronx,NY
19jun,Imagine Dragons,MA - Hora de inicio: 7:00 pm , Conciertos                                                            ," Desde $120,00",4 Pennsylvania Plaza,New York,NY
19jun,New York Yankees vs. Seattle Mariners,MA - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $21,00",161st Street and River Avenue,Bronx,NY
20jun,"Thirty Seconds To Mars, Walk The Moon & MisterWives",MI - Hora de inicio: 6:00 pm , Conciertos                                                            ," Desde $73,00",4 Pennsylvania Plaza,New York,NY
20jun,New York Yankees vs. Seattle Mariners,MI - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $14,00",161st Street and River Avenue,Bronx,NY
20jun,Amateur Night At The Apollo,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $50,00",253 West 125th Street,New York,NY
21jun,New York Yankees vs. Seattle Mariners,JU - Hora de inicio: 1:05 pm ," Béisbol, Deportes                                                            "," Desde $17,00",161st Street and River Avenue,Bronx,NY
21jun,Harry Styles & Kacey Musgraves,JU - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $31,00",4 Pennsylvania Plaza,New York,NY
22jun,New York Mets vs. Los Angeles Dodgers,VI - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $34,00",126th St. and Roosevelt Ave.,Queens,NY
22jun,Harry Styles & Kacey Musgraves,VI - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $33,00",4 Pennsylvania Plaza,New York,NY
22jun,The Monkees,VI - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $65,00",2124 Broadway,New York,NY
23 jun,Tour por Sardi's,SA,,,2124 Broadway,New York,NY
23 jun,Vida nocturna,SA,,,2124 Broadway,New York,NY
23jun,New York Red Bulls vs. FC Dallas,SA - Hora de inicio: 6:00 pm ," Fútbol, Deportes                                                            "," Desde $28,00",6th Street and Cape May Street,Harrison,NJ
23jun,New York Mets vs. Los Angeles Dodgers,SA - Hora de inicio: 7:15 pm ," Béisbol, Deportes                                                            "," Desde $39,00",126th St. and Roosevelt Ave.,Queens,NY
23jun,Ultimate Doo Wop Show,SA - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $100,00",2124 Broadway,New York,NY
24 jun,Un domingo de góspel,DO,,,2124 Broadway,New York,NY
24jun,New York Mets vs. Los Angeles Dodgers,DO - Hora de inicio: 1:10 pm ," Béisbol, Deportes                                                            "," Desde $35,00",126th St. and Roosevelt Ave.,Queens,NY
24jun,New York City FC vs. Toronto FC,DO - Hora de inicio: 5:00 pm ," Fútbol, Deportes                                                            "," Desde $36,00",161st Street and River Avenue,Bronx,NY
25 jun,Woodbury Common Premium Outlets Shopping Tour,LU,,,161st Street and River Avenue,Bronx,NY
25jun,New York Mets vs. Pittsburgh Pirates,LU - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $14,00",126th St. and Roosevelt Ave.,Queens,NY
25jun,U2,LU - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $147,00",4 Pennsylvania Plaza,New York,NY
25jun,Kathy Griffin,LU - Hora de inicio: 8:00 pm ," Comedy, Conciertos                                                            "," Desde $77,00",1260 Avenue of the Americas,New York,NY
26jun,Paramore & Foster The People,MA - Hora de inicio: 7:00 pm , Conciertos                                                            ," Desde $88,00",Atlantic Avenue and Flatbush Avenue,Brooklyn,NY
26jun,New York Mets vs. Pittsburgh Pirates,MA - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $16,00",126th St. and Roosevelt Ave.,Queens,NY
26jun,Seal,MA - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $127,00",2124 Broadway,New York,NY
26jun,U2,MA - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $126,00",4 Pennsylvania Plaza,New York,NY
26jun,Kathy Griffin,MA - Hora de inicio: 8:00 pm ," Comedy, Conciertos                                                            "," Desde $166,00",57th Street and Seventh Avenue,New York,NY
27jun,New York Mets vs. Pittsburgh Pirates,MI - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $14,00",126th St. and Roosevelt Ave.,Queens,NY
27jun,Steve Miller Band & Peter Frampton,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $81,00",1260 Avenue of the Americas,New York,NY
27jun,Amateur Night At The Apollo,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $50,00",253 West 125th Street,New York,NY
27jun,Sam Smith,MI - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $95,00",Atlantic Avenue and Flatbush Avenue,Brooklyn,NY
29jun,New York Yankees vs. Boston Red Sox,VI - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $67,00",161st Street and River Avenue,Bronx,NY
29jun,U2,VI - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $91,00",Lafayette St At Mulberry St,Newark,NJ
29jun,Sam Smith,VI - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $159,00",4 Pennsylvania Plaza,New York,NY
30 jun,Vida nocturna,SA,,,4 Pennsylvania Plaza,New York,NY
30jun,New York Yankees vs. Boston Red Sox,SA - Hora de inicio: 7:15 pm ," Béisbol, Deportes                                                            "," Desde $85,00",161st Street and River Avenue,Bronx,NY
30jun,Ludovico Einaudi,SA - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $93,00",1260 Avenue of the Americas,New York,NY
30jun,Sergio Mendes,SA - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $115,00",237 West 42nd Street,New York,NY
30jun,Sam Smith,SA - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $95,00",4 Pennsylvania Plaza,New York,NY
1 jul,Un domingo de góspel,DO,,,4 Pennsylvania Plaza,New York,NY
1jul,U2,DO - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $112,00",4 Pennsylvania Plaza,New York,NY
1jul,New York Yankees vs. Boston Red Sox,DO - Hora de inicio: 8:05 pm ," Béisbol, Deportes                                                            "," Desde $60,00",161st Street and River Avenue,Bronx,NY
2 jul,Woodbury Common Premium Outlets Shopping Tour,LU,,,161st Street and River Avenue,Bronx,NY
2jul,New York Yankees vs. Atlanta Braves,LU - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $11,00",161st Street and River Avenue,Bronx,NY
3jul,New York Yankees vs. Atlanta Braves,MA - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $18,00",161st Street and River Avenue,Bronx,NY
4 jul,4 de julio - Independence Day,MI,,,161st Street and River Avenue,Bronx,NY
4 jul,Nathan’s Hot Dog Eating Contest,MI,,,161st Street and River Avenue,Bronx,NY
4jul,New York Yankees vs. Atlanta Braves,MI - Hora de inicio: 1:05 pm ," Béisbol, Deportes                                                            "," Desde $28,00",161st Street and River Avenue,Bronx,NY
4jul,Amateur Night At The Apollo,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $50,00",253 West 125th Street,New York,NY
6jul,New York Mets vs. Tampa Bay Rays,VI - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $30,00",126th St. and Roosevelt Ave.,Queens,NY
7 jul,Vida nocturna,SA,,,126th St. and Roosevelt Ave.,Queens,NY
7jul,New York Mets vs. Tampa Bay Rays,SA - Hora de inicio: 4:10 pm ," Béisbol, Deportes                                                            "," Desde $37,00",126th St. and Roosevelt Ave.,Queens,NY
7jul,Sistine Chapel Choir,SA - Hora de inicio: 7:00 pm , Conciertos                                                            ," Desde $125,00",1260 Avenue of the Americas,New York,NY
7jul,WWE: Live,SA - Hora de inicio: 7:30 pm ," Deportes, Lucha                                                            "," Desde $65,00",4 Pennsylvania Plaza,New York,NY
8 jul,Un domingo de góspel,DO,,,4 Pennsylvania Plaza,New York,NY
8jul,New York Mets vs. Tampa Bay Rays,DO - Hora de inicio: 1:10 pm ," Béisbol, Deportes                                                            "," Desde $30,00",126th St. and Roosevelt Ave.,Queens,NY
8jul,New York City FC vs. New York Red Bulls,DO - Hora de inicio: 7:00 pm ," Fútbol, Deportes                                                            "," Desde $39,00",161st Street and River Avenue,Bronx,NY
9 jul,Woodbury Common Premium Outlets Shopping Tour,LU,,,161st Street and River Avenue,Bronx,NY
9jul,New York Mets vs. Philadelphia Phillies (Doubleheader),LU - Hora de inicio: 4:10 pm ," Béisbol, Deportes                                                            "," Desde $18,00",126th St. and Roosevelt Ave.,Queens,NY
10jul,New York Mets vs. Philadelphia Phillies,MA - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $16,00",126th St. and Roosevelt Ave.,Queens,NY
10jul,Radiohead,MA - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $180,00",4 Pennsylvania Plaza,New York,NY
11jul,New York City FC vs. Montreal Impact,MI - Hora de inicio: 7:00 pm ," Fútbol, Deportes                                                            "," Desde $27,00",161st Street and River Avenue,Bronx,NY
11jul,New York Mets vs. Philadelphia Phillies,MI - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $16,00",126th St. and Roosevelt Ave.,Queens,NY
11jul,Radiohead,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $159,00",4 Pennsylvania Plaza,New York,NY
11jul,Amateur Night At The Apollo,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $50,00",253 West 125th Street,New York,NY
12jul,New York Mets vs. Washington Nationals,JU - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $18,00",126th St. and Roosevelt Ave.,Queens,NY
13jul,New York Mets vs. Washington Nationals,VI - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $28,00",126th St. and Roosevelt Ave.,Queens,NY
13jul,Radiohead,VI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $171,00",4 Pennsylvania Plaza,New York,NY
13jul,Erasure,VI - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $120,00",2124 Broadway,New York,NY
14 jul,Vida nocturna,SA,,,2124 Broadway,New York,NY
14jul,New York Mets vs. Washington Nationals,SA - Hora de inicio: 4:10 pm ," Béisbol, Deportes                                                            "," Desde $34,00",126th St. and Roosevelt Ave.,Queens,NY
14jul,Johann,SA - Hora de inicio: 7:00 pm , Conciertos                                                            ," Desde $258,00",158 Ludlow Street,New York,New York
14jul,New York City FC vs. Columbus Crew SC,SA - Hora de inicio: 7:00 pm ," Fútbol, Deportes                                                            "," Desde $37,00",161st Street and River Avenue,Bronx,NY
14jul,New York Red Bulls vs. Sporting Kansas City,SA - Hora de inicio: 7:00 pm ," Fútbol, Deportes                                                            "," Desde $29,00",6th Street and Cape May Street,Harrison,NJ
14jul,Radiohead,SA - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $169,00",4 Pennsylvania Plaza,New York,NY
14jul,Shania Twain,SA - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $78,00",Atlantic Avenue and Flatbush Avenue,Brooklyn,NY
14jul,Erasure,SA - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $146,00",2124 Broadway,New York,NY
15 jul,Un domingo de góspel,DO,,,2124 Broadway,New York,NY
15jul,New York Mets vs. Washington Nationals,DO - Hora de inicio: 1:10 pm ," Béisbol, Deportes                                                            "," Desde $32,00",126th St. and Roosevelt Ave.,Queens,NY
15jul,Chris Brown,DO - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $58,00",Lafayette St At Mulberry St,Newark,NJ
16 jul,Woodbury Common Premium Outlets Shopping Tour,LU,,,Lafayette St At Mulberry St,Newark,NJ
16jul,Chris Brown,LU - Hora de inicio: 7:00 pm , Conciertos                                                            ," Desde $91,00",Atlantic Avenue and Flatbush Avenue,Brooklyn,NY
16jul,Foo Fighters,LU - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $111,00",4 Pennsylvania Plaza,New York,NY
17jul,Foo Fighters,MA - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $98,00",4 Pennsylvania Plaza,New York,NY
18jul,Amateur Night At The Apollo,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $50,00",253 West 125th Street,New York,NY
18jul,Billy Joel,MI - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $136,00",4 Pennsylvania Plaza,New York,NY
18jul,"Dickey Betts, Marshall Tucker Band, Devon Allman & Duane Betts",MI - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $112,00",2124 Broadway,New York,NY
19jul,Beck & Glass Animals,JU - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $102,00",4 Pennsylvania Plaza,New York,NY
20jul,Taylor Swift,VI - Hora de inicio: 7:00 pm , Conciertos                                                            ," Desde $96,00",102 Route 120,East Rutherford,NJ
20jul,"Panic! At The Disco, Hayley Kiyoko & Arizona",VI - Hora de inicio: 7:00 pm , Conciertos                                                            ," Desde $65,00",1255 Hempstead Turnpike,Uniondale,NY
20jul,New York Yankees vs. New York Mets,VI - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $70,00",161st Street and River Avenue,Bronx,NY
20jul,Animal Collective,VI - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $56,00",123 West 43rd Street,New York,NY
21 jul,Vida nocturna,SA,,,123 West 43rd Street,New York,NY
21jul,New York Yankees vs. New York Mets,SA - Hora de inicio: 1:05 pm ," Béisbol, Deportes                                                            "," Desde $28,00",161st Street and River Avenue,Bronx,NY
21jul,New York Red Bulls vs. New England Revolution,SA - Hora de inicio: 7:00 pm ," Fútbol, Deportes                                                            "," Desde $26,00",6th Street and Cape May Street,Harrison,NJ
21jul,Taylor Swift,SA - Hora de inicio: 7:00 pm , Conciertos                                                            ," Desde $92,00",102 Route 120,East Rutherford,NJ
22 jul,Un domingo de góspel,DO,,,102 Route 120,East Rutherford,NJ
22jul,Taylor Swift,DO - Hora de inicio: 7:00 pm , Conciertos                                                            ," Desde $73,00",102 Route 120,East Rutherford,NJ
22jul,John Cleese,DO - Hora de inicio: 8:00 pm ," Comedy, Conciertos                                                            "," Desde $140,00",Flatbush Avenue,Brooklyn,New York
22jul,New York Yankees vs. New York Mets,DO - Hora de inicio: 8:05 pm ," Béisbol, Deportes                                                            "," Desde $56,00",161st Street and River Avenue,Bronx,NY
23 jul,Woodbury Common Premium Outlets Shopping Tour,LU,,,161st Street and River Avenue,Bronx,NY
23jul,New York Mets vs. San Diego Padres,LU - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $14,00",126th St. and Roosevelt Ave.,Queens,NY
23jul,Britney Spears,LU - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $298,00",1260 Avenue of the Americas,New York,NY
24jul,"Panic! At The Disco, Hayley Kiyoko & Arizona",MA - Hora de inicio: 7:00 pm , Conciertos                                                            ," Desde $92,00",4 Pennsylvania Plaza,New York,NY
24jul,New York Mets vs. San Diego Padres,MA - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $14,00",126th St. and Roosevelt Ave.,Queens,NY
24jul,Britney Spears,MA - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $310,00",1260 Avenue of the Americas,New York,NY
25jul,New York Mets vs. San Diego Padres,MI - Hora de inicio: 12:10 pm ," Béisbol, Deportes                                                            "," Desde $14,00",126th St. and Roosevelt Ave.,Queens,NY
25jul,Amateur Night At The Apollo,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $50,00",253 West 125th Street,New York,NY
26jul,New York Yankees vs. Kansas City Royals,JU - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $23,00",161st Street and River Avenue,Bronx,NY
26jul,ASAP Ferg,JU - Hora de inicio: 9:00 pm , Conciertos                                                            ," Desde $68,00",,New York,NY
27jul,New York Yankees vs. Kansas City Royals,VI - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $30,00",161st Street and River Avenue,Bronx,NY
28 jul,Vida nocturna,SA,,,161st Street and River Avenue,Bronx,NY
28 jul,Hamburger Day,SA,,,161st Street and River Avenue,Bronx,NY
28jul,New York Yankees vs. Kansas City Royals,SA - Hora de inicio: 1:05 pm ," Béisbol, Deportes                                                            "," Desde $34,00",161st Street and River Avenue,Bronx,NY
28jul,Kevin Hart,SA - Hora de inicio: 7:00 pm ," Comedy, Conciertos                                                            "," Desde $71,00",Lafayette St At Mulberry St,Newark,NJ
28jul,Zac Brown Band & OneRepublic,SA - Hora de inicio: 7:00 pm , Conciertos                                                            ," Desde $126,00",126th St. and Roosevelt Ave.,Queens,NY
28jul,New York Red Bulls vs. Columbus Crew SC,SA - Hora de inicio: 7:00 pm ," Fútbol, Deportes                                                            "," Desde $28,00",6th Street and Cape May Street,Harrison,NJ
28jul,Silvestre Dangond,SA - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $106,00",7th Ave & 32nd Street,New York,NY
29 jul,Un domingo de góspel,DO,,,7th Ave & 32nd Street,New York,NY
29jul,New York Yankees vs. Kansas City Royals,DO - Hora de inicio: 1:05 pm ," Béisbol, Deportes                                                            "," Desde $24,00",161st Street and River Avenue,Bronx,NY
29jul,Kevin Hart,DO - Hora de inicio: 7:00 pm ," Comedy, Conciertos                                                            "," Desde $71,00",1255 Hempstead Turnpike,Uniondale,NY
29jul,Zac Brown Band & OneRepublic,DO - Hora de inicio: 7:00 pm , Conciertos                                                            ," Desde $75,00",126th St. and Roosevelt Ave.,Queens,NY
30 jul,Woodbury Common Premium Outlets Shopping Tour,LU,,,126th St. and Roosevelt Ave.,Queens,NY
31jul,New York Yankees vs. Baltimore Orioles,MA - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $18,00",161st Street and River Avenue,Bronx,NY
1ago,New York Yankees vs. Baltimore Orioles,MI - Hora de inicio: 1:05 pm ," Béisbol, Deportes                                                            "," Desde $22,00",161st Street and River Avenue,Bronx,NY
1ago,Smashing Pumpkins,MI - Hora de inicio: 7:00 pm , Conciertos                                                            ," Desde $95,00",4 Pennsylvania Plaza,New York,NY
1ago,"Rise Against, AFI & Anti-Flag",MI - Hora de inicio: 7:00 pm , Conciertos                                                            ," Desde $96,00",3052 West 21st Street,Brooklyn,New York
1ago,Amateur Night At The Apollo,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $50,00",253 West 125th Street,New York,NY
2ago,New York Mets vs. Atlanta Braves,JU - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $11,00",126th St. and Roosevelt Ave.,Queens,NY
2ago,On The Run II: Beyonce & Jay-Z,JU - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $99,00",102 Route 120,East Rutherford,NJ
3ago,New York Mets vs. Atlanta Braves,VI - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $26,00",126th St. and Roosevelt Ave.,Queens,NY
3ago,On The Run II: Beyonce & Jay-Z,VI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $96,00",102 Route 120,East Rutherford,NJ
4 ago,Vida nocturna,SA,,,102 Route 120,East Rutherford,NJ
4ago,New York Mets vs. Atlanta Braves,SA - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $38,00",126th St. and Roosevelt Ave.,Queens,NY
4ago,New York City FC vs. Vancouver Whitecaps FC,SA - Hora de inicio: 8:00 pm ," Fútbol, Deportes                                                            "," Desde $36,00",161st Street and River Avenue,Bronx,NY
5 ago,Un domingo de góspel,DO,,,161st Street and River Avenue,Bronx,NY
5ago,New York Mets vs. Atlanta Braves,DO - Hora de inicio: 1:10 pm ," Béisbol, Deportes                                                            "," Desde $29,00",126th St. and Roosevelt Ave.,Queens,NY
5ago,New York Red Bulls vs. Los Angeles FC,DO - Hora de inicio: 6:00 pm ," Fútbol, Deportes                                                            "," Desde $38,00",6th Street and Cape May Street,Harrison,NJ
6 ago,Woodbury Common Premium Outlets Shopping Tour,LU,,,6th Street and Cape May Street,Harrison,NJ
6ago,New York Liberty vs. Seattle Storm,LU - Hora de inicio: 11:00 am ," Baloncesto, Deportes                                                            "," Desde $335,00",4 Pennsylvania Plaza,New York,NY
6ago,New York Mets vs. Cincinnati Reds,LU - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $10,00",126th St. and Roosevelt Ave.,Queens,NY
7ago,New York Mets vs. Cincinnati Reds,MA - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $11,00",126th St. and Roosevelt Ave.,Queens,NY
7ago,Rod Stewart & Cyndi Lauper,MA - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $107,00",4 Pennsylvania Plaza,New York,NY
8ago,New York Mets vs. Cincinnati Reds,MI - Hora de inicio: 12:10 pm ," Béisbol, Deportes                                                            "," Desde $16,00",126th St. and Roosevelt Ave.,Queens,NY
8ago,Amateur Night At The Apollo: Show Off,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $55,00",253 West 125th Street,New York,NY
9ago,New York Yankees vs. Texas Rangers,JU - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $23,00",161st Street and River Avenue,Bronx,NY
10ago,New York Yankees vs. Texas Rangers,VI - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $27,00",161st Street and River Avenue,Bronx,NY
10ago,Shakira,VI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $164,00",4 Pennsylvania Plaza,New York,NY
11 ago,Vida nocturna,SA,,,4 Pennsylvania Plaza,New York,NY
11ago,New York Yankees vs. Texas Rangers,SA - Hora de inicio: 1:05 pm ," Béisbol, Deportes                                                            "," Desde $24,00",161st Street and River Avenue,Bronx,NY
11ago,"Jason Aldean, Luke Combs & Lauren Alaina",SA - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $85,00",4 Pennsylvania Plaza,New York,NY
12 ago,Un domingo de góspel,DO,,,4 Pennsylvania Plaza,New York,NY
12ago,NFL Preseason: New York Jets vs. Atlanta Falcons (Date: TBD),DO - Hora de inicio: ," Fútbol americano, Deportes                                                            "," Desde $37,00",102 Route 120,East Rutherford,NJ
12ago,New York Yankees vs. Texas Rangers,DO - Hora de inicio: 1:05 pm ," Béisbol, Deportes                                                            "," Desde $27,00",161st Street and River Avenue,Bronx,NY
13 ago,Woodbury Common Premium Outlets Shopping Tour,LU,,,161st Street and River Avenue,Bronx,NY
13ago,NFL Preseason: New York Giants vs. Cleveland Browns (Date: TBD),LU - Hora de inicio: ," Fútbol americano, Deportes                                                            "," Desde $73,00",102 Route 120,East Rutherford,NJ
14ago,New York Yankees vs. Tampa Bay Rays,MA - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $14,00",161st Street and River Avenue,Bronx,NY
15ago,New York Yankees vs. Tampa Bay Rays,MI - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $13,00",161st Street and River Avenue,Bronx,NY
15ago,Amateur Night At The Apollo: Top Dog,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $60,00",253 West 125th Street,New York,NY
16ago,New York Yankees vs. Tampa Bay Rays,JU - Hora de inicio: 1:05 pm ," Béisbol, Deportes                                                            "," Desde $21,00",161st Street and River Avenue,Bronx,NY
16ago,NFL Preseason: Washington Redskins vs. New York Jets,JU - Hora de inicio: 8:00 pm ," Fútbol americano, Deportes                                                            "," Desde $65,00",1600 FedEx Way,Landover,Maryland
17ago,New York Yankees vs. Toronto Blue Jays,VI - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $26,00",161st Street and River Avenue,Bronx,NY
18 ago,Yankee Legends Suite Game,SA,,,161st Street and River Avenue,Bronx,NY
18 ago,Vida nocturna,SA,,,161st Street and River Avenue,Bronx,NY
18ago,WWE: NXT Takeover,SA - Hora de inicio: ," Deportes, Lucha                                                            "," Desde $41,00",Atlantic Avenue and Flatbush Avenue,Brooklyn,NY
18ago,New York Yankees vs. Toronto Blue Jays,SA - Hora de inicio: 1:05 pm ," Béisbol, Deportes                                                            "," Desde $31,00",161st Street and River Avenue,Bronx,NY
18ago,"Kenny Chesney, Thomas Rhett, Old Dominion & Brandon Lay",SA - Hora de inicio: 5:00 pm , Conciertos                                                            ," Desde $80,00",102 Route 120,East Rutherford,NJ
19 ago,Un domingo de góspel,DO,,,102 Route 120,East Rutherford,NJ
19ago,New York Yankees vs. Toronto Blue Jays,DO - Hora de inicio: 1:05 pm ," Béisbol, Deportes                                                            "," Desde $26,00",161st Street and River Avenue,Bronx,NY
19ago,WWE: Summerslam,DO - Hora de inicio: 6:30 pm ," Deportes, Lucha                                                            "," Desde $125,00",Atlantic Avenue and Flatbush Avenue,Brooklyn,NY
20 ago,Woodbury Common Premium Outlets Shopping Tour,LU,,,Atlantic Avenue and Flatbush Avenue,Brooklyn,NY
20ago,WWE Raw,LU - Hora de inicio: ," Deportes, Lucha                                                            "," Desde $43,00",Atlantic Avenue and Flatbush Avenue,Brooklyn,NY
20ago,NFL Preseason: Detroit Lions vs. New York Giants (Date: TBD),LU - Hora de inicio: ," Fútbol americano, Deportes                                                            "," Desde $27,00",2000 Brush Street,Detroit,Michigan
20ago,New York Mets vs. San Francisco Giants,LU - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $11,00",126th St. and Roosevelt Ave.,Queens,NY
21ago,WWE Smackdown,MA - Hora de inicio: ," Deportes, Lucha                                                            "," Desde $27,00",Atlantic Avenue and Flatbush Avenue,Brooklyn,NY
21ago,New York Mets vs. San Francisco Giants,MA - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $11,00",126th St. and Roosevelt Ave.,Queens,NY
22ago,New York City FC vs. New York Red Bulls,MI - Hora de inicio: 7:00 pm ," Fútbol, Deportes                                                            "," Desde $46,00",161st Street and River Avenue,Bronx,NY
22ago,New York Mets vs. San Francisco Giants,MI - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $10,00",126th St. and Roosevelt Ave.,Queens,NY
