Fecha,Evento,Hora,Categoria,Precio,Direccion,Ubicacion,Ciudad
27abr,NHL Eastern Conference Semifinals: New Jersey Devils vs. TBD - Home Game 2 (Date: TBD - If Necessary),VI - Hora de inicio: ," Hóckey, Deportes                                                            "," Desde $138,00",Lafayette St At Mulberry St,Newark,NJ
27abr,Juanes & Mon Laferte,VI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $65,00",7th Ave & 32nd Street,New York,NY
28 - 29 abr,Festival de los cerezos en flor en Brooklyn,,,,7th Ave & 32nd Street,New York,NY
28 abr,Vida nocturna,SA,,,7th Ave & 32nd Street,New York,NY
28abr,Daniel Jacobs vs. Maciej Sulecki,SA - Hora de inicio: 5:30 pm ," Boxeo, Deportes                                                            "," Desde $81,00",Atlantic Avenue and Flatbush Avenue,Brooklyn,NY
28abr,Echosmith,SA - Hora de inicio: 7:00 pm , Conciertos                                                            ," Desde $37,00",17 Irving Place,New York,NY
28abr,Matt and Kim,SA - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $83,00",319 Frost St,Brooklyn,New York
29 abr,Un domingo de góspel,DO,,,319 Frost St,Brooklyn,New York
29abr,New York City FC vs. FC Dallas,DO - Hora de inicio: 6:00 pm ," Fútbol, Deportes                                                            "," Desde $17,00",161st Street and River Avenue,Bronx,NY
30 abr,Woodbury Common Premium Outlets Shopping Tour,LU,,,161st Street and River Avenue,Bronx,NY
1 may,Cumpleaños del Empire State Building,MA,,,161st Street and River Avenue,Bronx,NY
1may,New York Mets vs. Atlanta Braves,MA - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $12,00",126th St. and Roosevelt Ave.,Queens,NY
2may,New York Mets vs. Atlanta Braves,MI - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $11,00",126th St. and Roosevelt Ave.,Queens,NY
2may,Amateur Night At The Apollo,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $50,00",253 West 125th Street,New York,NY
2may,Brian Fallon,MI - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $68,00",319 Frost St,Brooklyn,New York
3may,New York Mets vs. Atlanta Braves,JU - Hora de inicio: 1:10 pm ," Béisbol, Deportes                                                            "," Desde $11,00",126th St. and Roosevelt Ave.,Queens,NY
3may,"Chris Tomlin, Kim Walker-Smith, Matt Maher & Christine D'Clario",JU - Hora de inicio: 7:00 pm , Conciertos                                                            ," Desde $35,00",Lafayette St At Mulberry St,Newark,NJ
3may,Lord Huron,JU - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $86,00",2124 Broadway,New York,NY
4may,New York Yankees vs. Cleveland Indians,VI - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $49,00",161st Street and River Avenue,Bronx,NY
4may,New York Mets vs. Colorado Rockies,VI - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $17,00",126th St. and Roosevelt Ave.,Queens,NY
4may,Steve Martin & Martin Short,VI - Hora de inicio: 8:00 pm ," Comedy, Conciertos                                                            "," Desde $247,00",2124 Broadway,New York,NY
4may,Haim,VI - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $105,00",1260 Avenue of the Americas,New York,NY
5 may,Celebra el Cinco de Mayo con comida mexicana,SA,,,1260 Avenue of the Americas,New York,NY
